| Military and Security | Kazakhstan |
| --- | --- |
| Military and security forces: | Armed Forces of the Republic of Kazakhstan: Land Forces, Navy, Air and Air Defense Force; Ministry of Internal Affairs: National Guard, Border Service (includes Coast Guard), State Security Service (2019) |
| Military expenditures: | 1.1% of GDP (2019) |
| Military expenditures: | 0.9% of GDP (2018) |
| Military expenditures: | 0.9% of GDP (2017) |
| Military expenditures: | 0.9% of GDP (2016) |
| Military expenditures: | 1.1% of GDP (2015) |
| Military and security service personnel strengths: | estimates of the size of the Armed Forces of Kazakhstan vary; approximately 45,000 active duty personnel (25,000 Army; 3,000 Navy; 14,000 Air and Air Defense; 3,000 other) (2019 est.) |
| Military equipment inventories and acquisitions: | the Kazakh military's inventory is comprised of mostly older Russian and Soviet-era equipment; since 2010, Russia remains by far the leading supplier of weapons systems, but Kazakhstan has also received weapons systems from China, Germany, Israel, South Africa, Turkey, Ukraine, and the US (2019 est.) |
| Military deployments: | 120 Lebanon (UNIFIL); as of mid-2019, Kazakhstan contributed a brigade to CSTO's Rapid Reaction Force (2020) |
| Military service age and obligation: | All men 18-27 are required to serve in the military for at least one year. (2019) |
