| Military and Security | Slovakia |
| --- | --- |
| Military and security forces: | Armed Forces of the Slovak Republic (Ozbrojene Sily Slovenskej Republiky): Land Forces, Air and Air Defense Forces, and a Joint Training and Support Command (2019) |
| Military expenditures: | 1.74% of GDP (2019 est.) |
| Military expenditures: | 1.22% of GDP (2018) |
| Military expenditures: | 1.1% of GDP (2017) |
| Military expenditures: | 1.12% of GDP (2016) |
| Military expenditures: | 1.12% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Forces of the Slovak Republic have approximately 15,000 active duty personnel (6,000 Land Forces; 4,000 Air and Air Defense; 5,000 other, including central staff, support, and training duties) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Slovakian military consists mostly of Soviet-era platforms; since 2010, it has imported limited quantities of equipment from China, Czechia, Italy, Russia, and the US (2019 est.) |
| Military deployments: | 240 Cyprus (UNFICYP); up to 150 Latvia (NATO) (2020) |
| Military service age and obligation: | 18-30 years of age for voluntary military service; conscription in peacetime suspended in 2006; women are eligible to serve (2012) |
