| Military and Security | Cabo Verde |
| --- | --- |
| Military and security forces: | Cabo Verdean Armed Forces (FACV): Army (also called the National Guard, GN), Cabo Verde Coast Guard (Guardia Costeira de Cabo Verde, GCCV, includes naval infantry) (2013) |
| Military expenditures: | 0.5% of GDP (2019) |
| Military expenditures: | 0.6% of GDP (2018) |
| Military expenditures: | 0.5% of GDP (2017) |
| Military expenditures: | 0.6% of GDP (2016) |
| Military expenditures: | 0.6% of GDP (2015) |
| Military and security service personnel strengths: | the Cabo Verdean Armed Forces (FACV) consist of approximately 1,100 Army (includes an air component of about 100 personnel) and 100 Coast Guard active duty troops (2019) |
| Military equipment inventories and acquisitions: | the FACV has a limited amount of mostly dated and second-hand equipment, largely from China, European countries, and the former Soviet Union; since 2010, it has received limited quantities of equipment (naval patrol craft and air craft) from the Netherlands and Portugal (2019 est.) |
| Military service age and obligation: | 18-35 years of age for male and female selective compulsory military service; 2-years conscript service obligation; 17 years of age for voluntary service (with parental consent) (2013) |
