| Military and Security | New Zealand |
| --- | --- |
| Military and security forces: | New Zealand Defence Force (NZDF): New Zealand Army, Royal New Zealand Navy, Royal New Zealand Air Force (2020) |
| Military expenditures: | 1.5% of GDP (2019) |
| Military expenditures: | 1.3% of GDP (2018) |
| Military expenditures: | 1.2% of GDP (2017) |
| Military expenditures: | 1.2% of GDP (2016) |
| Military expenditures: | 1.2% of GDP (2015) |
| Military and security service personnel strengths: | the New Zealand Defense Force (NZDF) has about 9,600 active duty troops (4,700 Army; 2,300 Navy; 2,600 Air Force) (2020) |
| Military equipment inventories and acquisitions: | NZDF is equipped mostly with imported weapons and equipment from Western suppliers; Australia, France, and the US are the leading suppliers since 2010 (2019 est.) |
| Military deployments: | up to 220 Antarctica (summer season only) (2020) |
| Military service age and obligation: | 17 years of age for voluntary military service; soldiers cannot be deployed until the age of 18; no conscription (2019) |
