| Military and Security | Singapore |
| --- | --- |
| Military and security forces: | Singapore Armed Forces: Singapore Army, Republic of Singapore Navy, Republic of Singapore Air Force (includes air defense);Â  Police Coast Guard (subordinate to the Singapore Police Force) (2019) |
| Military expenditures: | 3.2% of GDP (2019) |
| Military expenditures: | 3.1% of GDP (2018) |
| Military expenditures: | 3.1% of GDP (2017) |
| Military expenditures: | 3.2% of GDP (2016) |
| Military expenditures: | 3.1% of GDP (2015) |
| Military and security service personnel strengths: | the Singapore Armed Forces (SAF) have approximately 62,000 active duty troops (45,000 Army; 7,000 Navy; 10,000 Air Force) (2019) |
| Military equipment inventories and acquisitions: | the SAF has a diverse and largely modern mix of domestically-produced and imported weapons; Singapore has the most developed arms industry in Southeast Asia and is also the largest importer of weapons; the chief suppliers since 2010 are France, Germany, Spain, and the US (2019 est.) |
| Military deployments: | maintains permanent training bases and detachments of military personnel in Australia, France, and the US (June 2020) |
| Military service age and obligation: | 18-21 years of age for male compulsory military service; 16 1/2 years of age for voluntary enlistment (with parental consent); 2-year conscript service obligation, with a reserve obligation to age 40 (enlisted) or age 50 (officers) (2019) |
| Maritime threats: | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift; the Singapore Straits saw three attacks against commercial vessels in 2018, a slight decrease from the four attacks in 2017 (2018) |
