| Military and Security | Ireland |
| --- | --- |
| Military and security forces: | Irish Defence Forces (Oglaigh na h-Eireannn): Army (includes Army Reserve), Naval Service (includes Naval Service Reserves), Air Corps (2019) |
| Military expenditures: | 0.3% of GDP (2019) |
| Military expenditures: | 0.3% of GDP (2018) |
| Military expenditures: | 0.3% of GDP (2017) |
| Military expenditures: | 0.3% of GDP (2016) |
| Military expenditures: | 0.3% of GDP (2015) |
| Military and security service personnel strengths: | the Irish Defence Forces have approximately 8,700 active duty personnel (7,000 Army; 1,000 Navy; 700 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the Irish Defense Forces have a small inventory of imported weapons systems from a variety of European countries, as well as South Africa and the US; the UK is the leading supplier of military hardware to Ireland since 2010 (2019 est.) |
| Military deployments: | 130 Golan Heights (UNDOF); 340 Lebanon (UNIFIL) (2020) |
| Military service age and obligation: | 18-25 years of age for male and female voluntary military service recruits to the Defence Forces (18-27 years of age for the Naval Service); 18-26 for cadetship (officer) applicants; 12-year service (5 active, 7 reserves); Irish citizen, European Economic Area citizenship, or refugee status (2019) |
