| Military and Security | Bahrain |
| --- | --- |
| Military and security forces: | Bahrain Defense Force (BDF): Royal Bahraini Army (includes the Royal Guard), Royal Bahraini Navy, Royal Bahraini Air Force, Royal Bahraini Air Defense Force; Ministry of Interior security forces: National Guard, Special Security Forces Command (SSFC), Coast Guard |
| Military and security forces: | (2019) |
| Military and security forces: | note: the Royal Guard is officially under the command of the Army, but exercises considerable autonomy |
| Military expenditures: | 3.7% of GDP (2019) |
| Military expenditures: | 4.1% of GDP (2018) |
| Military expenditures: | 4.3% of GDP (2017) |
| Military expenditures: | 4.7% of GDP (2016) |
| Military expenditures: | 4.6% of GDP (2015) |
| Military and security service personnel strengths: | size assessments for the Bahrain Defense Force vary; approximately 10,000 active personnel (7,500 Army; 1,000 Navy; 1,500 Air Force); est. 2,500 National Guard |
| Military and security service personnel strengths: | (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Bahrain Defense force is comprised mostly of equipment acquired from the US along with a smaller quantity of material from European suppliers; since 2010, Turkey and the US are the leading suppliers of arms to Bahrain (2019 est.) |
| Military service age and obligation: | 18 years of age for voluntary military service; 15 years of age for NCOs, technicians, and cadets; no conscription (2019) |
